"object_id","volume","region_name","lga"
2441,24000,"METROPOLITAN NORTH WEST REGION","MELBOURNE"
2442,13000,"METROPOLITAN NORTH WEST REGION","MELBOURNE"
2443,3400,"NORTH EASTERN REGION","BENALLA"
2444,358,"WESTERN REGION","ARARAT"
2445,6100,"METROPOLITAN NORTH WEST REGION","MELBOURNE"
2446,570,"SOUTH WESTERN REGION","SURF COAST"
2447,259,"SOUTH WESTERN REGION","COLAC OTWAY"
2448,456,"SOUTH WESTERN REGION","GLENELG"
2449,79,"WESTERN REGION","YARRIAMBIACK"
2450,43,"WESTERN REGION","YARRIAMBIACK"
2451,2400,"WESTERN REGION","MILDURA"
2452,201,"NORTHERN REGION","BULOKE"
2453,253,"WESTERN REGION","NORTHERN GRAMPIANS"
2454,3100,"METROPOLITAN NORTH WEST REGION","YARRA"
2455,5800,"METROPOLITAN SOUTH EAST REGION","GLEN EIRA"
2456,3800,"METROPOLITAN SOUTH EAST REGION","MAROONDAH"
2457,42,"NORTHERN REGION","BULOKE"
2458,249,"NORTHERN REGION","MITCHELL"
2459,868,"NORTHERN REGION","MITCHELL"
2460,2500,"NORTHERN REGION","MITCHELL"
2461,1600,"WESTERN REGION","NORTHERN GRAMPIANS"
2462,1500,"METROPOLITAN SOUTH EAST REGION","YARRA RANGES"
2463,6800,"METROPOLITAN SOUTH EAST REGION","FRANKSTON"
2464,17000,"METROPOLITAN NORTH WEST REGION","MELBOURNE"
2465,24000,"METROPOLITAN SOUTH EAST REGION","DANDENONG"
2466,31000,"METROPOLITAN SOUTH EAST REGION","MONASH"
2467,28000,"METROPOLITAN SOUTH EAST REGION","WHITEHORSE"
2468,17000,"METROPOLITAN NORTH WEST REGION","MELBOURNE"
2469,30000,"METROPOLITAN SOUTH EAST REGION","DANDENONG"
2470,14000,"METROPOLITAN NORTH WEST REGION","MARIBYRNONG"
2471,62000,"METROPOLITAN NORTH WEST REGION","WYNDHAM"
2472,62000,"METROPOLITAN NORTH WEST REGION","MELBOURNE"
2473,1300,"WESTERN REGION","MOORABOOL"
2474,2300,"METROPOLITAN NORTH WEST REGION","WYNDHAM"
2475,13000,"METROPOLITAN NORTH WEST REGION","HOBSONS BAY"
2476,17000,"METROPOLITAN NORTH WEST REGION","HOBSONS BAY"
2477,429,"SOUTH WESTERN REGION","COLAC OTWAY"
2478,9100,"NORTH EASTERN REGION","WANGARATTA"
2479,498,"SOUTH WESTERN REGION","COLAC OTWAY"
2480,7300,"METROPOLITAN NORTH WEST REGION","MELBOURNE"
2481,5700,"METROPOLITAN NORTH WEST REGION","PORT PHILLIP"
2482,3900,"METROPOLITAN NORTH WEST REGION","WYNDHAM"
2483,3500,"METROPOLITAN NORTH WEST REGION","BANYULE"
2484,7100,"METROPOLITAN NORTH WEST REGION","PORT PHILLIP"
2485,7100,"METROPOLITAN SOUTH EAST REGION","CASEY"
2486,3300,"SOUTH WESTERN REGION","GEELONG"
2487,2700,"METROPOLITAN SOUTH EAST REGION","MANNINGHAM"
2488,2000,"METROPOLITAN SOUTH EAST REGION","MONASH"
2489,5200,"METROPOLITAN NORTH WEST REGION","PORT PHILLIP"
2490,729,"METROPOLITAN SOUTH EAST REGION","CARDINIA"
2491,2900,"METROPOLITAN NORTH WEST REGION","YARRA"
2492,4400,"METROPOLITAN SOUTH EAST REGION","GLEN EIRA"
2493,7900,"METROPOLITAN SOUTH EAST REGION","CASEY"
2494,16000,"EASTERN REGION","LATROBE"
2495,5600,"EASTERN REGION","WELLINGTON"
2496,7800,"EASTERN REGION","WELLINGTON"
2497,3000,"EASTERN REGION","WELLINGTON"
2498,13000,"EASTERN REGION","EAST GIPPSLAND"
2499,8000,"METROPOLITAN NORTH WEST REGION","DAREBIN"
2500,1600,"SOUTH WESTERN REGION","GEELONG"
2501,8800,"METROPOLITAN NORTH WEST REGION","PORT PHILLIP"
2502,17000,"METROPOLITAN SOUTH EAST REGION","BAYSIDE"
2503,637,"WESTERN REGION","YARRIAMBIACK"
2504,684,"WESTERN REGION","YARRIAMBIACK"
2505,427,"WESTERN REGION","NORTHERN GRAMPIANS"
2506,612,"WESTERN REGION","WEST WIMMERA"
2507,7100,"METROPOLITAN SOUTH EAST REGION","STONNINGTON"
2508,10000,"METROPOLITAN SOUTH EAST REGION","STONNINGTON"
2509,7200,"METROPOLITAN SOUTH EAST REGION","MONASH"
2510,11000,"METROPOLITAN SOUTH EAST REGION","BOROONDARA"
2511,22000,"METROPOLITAN SOUTH EAST REGION","WHITEHORSE"
2512,19000,"METROPOLITAN SOUTH EAST REGION","YARRA RANGES"
2513,16000,"METROPOLITAN SOUTH EAST REGION","WHITEHORSE"
2514,11000,"METROPOLITAN SOUTH EAST REGION","MONASH"
2515,14000,"METROPOLITAN SOUTH EAST REGION","KINGSTON"
2516,7900,"METROPOLITAN SOUTH EAST REGION","MANNINGHAM"
2517,5300,"METROPOLITAN SOUTH EAST REGION","MANNINGHAM"
2518,5700,"METROPOLITAN SOUTH EAST REGION","MANNINGHAM"
2519,31000,"METROPOLITAN NORTH WEST REGION","MELBOURNE"
2520,474,"SOUTH WESTERN REGION","MOYNE"
2521,1500,"EASTERN REGION","WELLINGTON"
2522,3500,"EASTERN REGION","WELLINGTON"
2523,834,"EASTERN REGION","WELLINGTON"
2524,1400,"EASTERN REGION","EAST GIPPSLAND"
2525,8800,"METROPOLITAN NORTH WEST REGION","BRIMBANK"
2526,698,"NORTH EASTERN REGION","WANGARATTA"
2527,814,"NORTHERN REGION","GANNAWARRA"
2528,9100,"SOUTH WESTERN REGION","GEELONG"
2529,3800,"METROPOLITAN SOUTH EAST REGION","CASEY"
2530,32000,"METROPOLITAN NORTH WEST REGION","WYNDHAM"
2531,36000,"SOUTH WESTERN REGION","GEELONG"
2532,28000,"SOUTH WESTERN REGION","GEELONG"
2533,28000,"SOUTH WESTERN REGION","GEELONG"
2534,7900,"SOUTH WESTERN REGION","GEELONG"
2535,6300,"METROPOLITAN SOUTH EAST REGION","BAYSIDE"
2536,7900,"METROPOLITAN SOUTH EAST REGION","STONNINGTON"
2537,9500,"METROPOLITAN NORTH WEST REGION","BANYULE"
2538,1200,"EASTERN REGION","LATROBE"
2539,2500,"EASTERN REGION","LATROBE"
2540,7800,"EASTERN REGION","LATROBE"
2541,8800,"METROPOLITAN SOUTH EAST REGION","KINGSTON"
2542,18000,"METROPOLITAN SOUTH EAST REGION","MAROONDAH"
2543,12000,"METROPOLITAN NORTH WEST REGION","NILLUMBIK"
2544,5700,"METROPOLITAN SOUTH EAST REGION","BOROONDARA"
2545,611,"WESTERN REGION","HORSHAM"
2546,654,"WESTERN REGION","YARRIAMBIACK"
2547,1600,"METROPOLITAN NORTH WEST REGION","MELBOURNE"
2548,260,"NORTH EASTERN REGION","SHEPPARTON"
2549,530,"NORTH EASTERN REGION","SHEPPARTON"
2550,488,"NORTH EASTERN REGION","STRATHBOGIE"
2551,2300,"NORTH EASTERN REGION","INDIGO"
2552,5600,"METROPOLITAN NORTH WEST REGION","MORELAND"
2553,20000,"METROPOLITAN SOUTH EAST REGION","MONASH"
2554,2300,"WESTERN REGION","HEPBURN"
2555,6300,"WESTERN REGION","BALLARAT"
2556,1600,"NORTH EASTERN REGION","STRATHBOGIE"
2557,10000,"METROPOLITAN NORTH WEST REGION","MORELAND"
2558,3200,"METROPOLITAN NORTH WEST REGION","BANYULE"
2559,13000,"METROPOLITAN NORTH WEST REGION","BANYULE"
2560,165,"NORTH EASTERN REGION","TOWONG"
2561,5800,"METROPOLITAN NORTH WEST REGION","MOONEE VALLEY"
2562,22000,"METROPOLITAN SOUTH EAST REGION","CASEY"
2563,16000,"METROPOLITAN SOUTH EAST REGION","CARDINIA"
2564,4200,"METROPOLITAN SOUTH EAST REGION","CARDINIA"
2565,6900,"METROPOLITAN SOUTH EAST REGION","CARDINIA"
2566,2600,"METROPOLITAN SOUTH EAST REGION","CARDINIA"
2567,2500,"METROPOLITAN SOUTH EAST REGION","YARRA RANGES"
2568,2700,"METROPOLITAN SOUTH EAST REGION","CARDINIA"
2569,2700,"WESTERN REGION","HORSHAM"
2570,3100,"METROPOLITAN NORTH WEST REGION","PORT PHILLIP"
2571,15000,"METROPOLITAN SOUTH EAST REGION","CASEY"
2572,6200,"SOUTH WESTERN REGION","GEELONG"
2573,9100,"METROPOLITAN NORTH WEST REGION","MARIBYRNONG"
2574,24,"EASTERN REGION","EAST GIPPSLAND"
2575,11000,"NORTHERN REGION","MACEDON RANGES"
2576,4600,"NORTHERN REGION","MACEDON RANGES"
2577,248,"WESTERN REGION","HINDMARSH"
2578,4200,"NORTH EASTERN REGION","MOIRA"
2579,1300,"NORTH EASTERN REGION","INDIGO"
2580,7200,"NORTH EASTERN REGION","WODONGA"
2581,8500,"METROPOLITAN NORTH WEST REGION","MARIBYRNONG"
2582,11000,"METROPOLITAN NORTH WEST REGION","HOBSONS BAY"
2583,10000,"METROPOLITAN NORTH WEST REGION","YARRA"
2584,13000,"METROPOLITAN SOUTH EAST REGION","BOROONDARA"
2585,5600,"SOUTH WESTERN REGION","GEELONG"
